OptionId,Name,T1_Value,T2_Value,T3_Value,T4_Value,T5_Value,T6_Value,T7_Value,T8_Value,T9_Value
HP_ADD,HP +,7,13,26,46,50,70,95,125,160
DEF_ADD,DEF +,1,3,5,9,10,14,19,25,33
HP_PCT,HP %,1,3,5,8,9,13,18,25,35
DEF_PCT,DEF %,1,3,5,8,9,13,18,25,35
STAT_STR_ADD,힘 +,1,3,4,7,7,10,14,19,25
STAT_DEX_ADD,민첩 +,1,3,4,7,7,10,14,19,25
STAT_INT_ADD,지능 +,1,3,4,7,7,10,14,19,25
STAT_END_ADD,인내 +,1,3,4,7,7,10,14,19,25
DMG_RED_PCT,받는 피해 감소 %,0.7,1,3,4,4.5,6.5,9,12,16
BLOCK_PCT,막기 확률 %,0.7,1,2,3.3,3.5,5,7,9.5,13
CRIT_RESIST_PCT,치명타 피해 감소 %,3,6,10,14,16,22,30,40,55
EVASION_PCT,회피 확률 %,0.5,1.2,2.5,4,4.5,6.5,9,12,16
REGEN_HP_ADD,HP 회복 +,2,5,9,14,16,22,30,40,55
THORN_PCT,반격 피해 %,2,4,7,11,12,17,23,31,42
LIFE_STEAL_PCT,체력 흡수 %,0.1,0.4,0.8,1,1.5,2.2,3,4,5.5
FINAL_DMG_PCT,최종 데미지 %,0,0,0,1,2,4,7,11,18
