BossId,Name,Grade,Hp,Atk,Magic,As,Def
Slime_King,악마 마염 군주,2,220,10,4,1,2
Goblin_Chieftain,악마 군번장,3,280,14,0,1,10
Wolf_Alpha,악마 마수왕,3,340,16,0,1,8
Demon_Barbatos,악마 바르바토스,3,360,17,6,1,9
Demon_Lerajie,악마 레라지에,3,390,18,8,1,10
Demon_Eligos,악마 엘리고스,4,420,19,10,1,11
Demon_Naberius,악마 나베리우스,4,450,20,12,1,12
Demon_Glasya,악마 글라샤,4,480,21,14,1,13
Demon_Bune,악마 부네,5,510,22,16,1,14
Demon_Ronove,악마 론베,5,540,23,18,1,15
Demon_Baal,악마 바알,5,570,24,20,1,16
Demon_Agares,악마 아가레스,5,600,25,22,1,17
Demon_Paimon,악마 파이몬,5,630,26,24,1,18
Demon_Astaroth,악마 아스타로트,6,660,27,26,1,19
Demon_Asmodeus,악마 아스모데우스,6,690,28,28,1,20
Demon_Belial,악마 벨리알,6,720,29,30,1,21
Demon_Vassago,악마 바사고,6,750,30,32,1,22
Skeleton_Lord,천사 낙천 장군,4,400,18,6,1,14
Flame_Tyrant,천사 심판 폭군,4,480,16,18,1,12
Frost_Titan,천사 서릿빛 거신,5,550,14,22,1,18
Angel_Cassiel,천사 카시엘,3,370,15,14,1,12
Angel_Sachiel,천사 사키엘,3,400,16,16,1,13
Angel_Anael,천사 아나엘,4,430,17,18,1,14
Angel_Raphael,천사 라파엘,4,460,18,20,1,15
Angel_Gabriel,천사 가브리엘,4,490,19,22,1,16
Angel_Michael,천사 미카엘,5,520,20,24,1,17
Angel_Uriel,천사 우리엘,5,550,21,26,1,18
Angel_Metatron,천사 메타트론,6,580,23,28,1,18
Angel_Raziel,천사 라지엘,6,610,24,30,1,19
Angel_Zadkiel,천사 자드키엘,6,640,25,32,1,20
Angel_Camael,천사 카마엘,6,670,26,34,1,21
Angel_Haniel,천사 하니엘,6,700,27,36,1,22
Angel_Zophiel,천사 조피엘,6,730,28,38,1,23
Angel_Raguel,천사 라구엘,6,760,29,40,1,24
Elder_Dragon,차원 고룡,5,650,22,10,1,14
Void_Harbinger,이계 사자,5,750,20,16,1,16
Void_Overlord,공허 군주,6,900,24,18,1,22
