DungeonId,MonsterId,Category,FromWave,ToWave,ItemId,Weight,MinQty,MaxQty

Dungeon_Slime_Forest,Slime,Monster,1,9,Item_Lesser_Mana_Stone,5500,1,2

Dungeon_Slime_Forest,Slime,Monster,1,9,Item_Enhance_Scroll_Low,3000,1,1

Dungeon_Slime_Forest,Slime,Monster,1,9,Item_Lesser_Recovery_Potion,1500,1,1

Dungeon_Slime_Forest,Slime_King,Boss,10,10,Item_Lesser_Mana_Stone,4500,2,4

Dungeon_Slime_Forest,Slime_King,Boss,10,10,Item_Enhance_Scroll_Low,3500,1,2

Dungeon_Slime_Forest,Slime_King,Boss,10,10,Item_Lesser_Recovery_Potion,2000,1,2

Dungeon_Goblin_Den,Goblin,Monster,1,13,Item_Lesser_Mana_Stone,4000,1,2

Dungeon_Goblin_Den,Goblin,Monster,1,13,Item_Enhance_Scroll_Low,3000,1,1

Dungeon_Goblin_Den,Goblin,Monster,1,13,Item_Mana_Stone,1500,1,1

Dungeon_Goblin_Den,Goblin,Monster,1,13,Item_Lesser_Recovery_Potion,1500,1,1

Dungeon_Goblin_Den,Goblin_Chieftain,Boss,14,14,Item_Mana_Stone,5500,1,2

Dungeon_Goblin_Den,Goblin_Chieftain,Boss,14,14,Item_Enhance_Scroll_Low,3000,1,2

Dungeon_Goblin_Den,Goblin_Chieftain,Boss,14,14,Item_Lesser_Recovery_Potion,1500,1,2

Dungeon_Wolf_Ravine,Wolf,Monster,1,15,Item_Lesser_Mana_Stone,2500,1,2

Dungeon_Wolf_Ravine,Wolf,Monster,1,15,Item_Mana_Stone,2500,1,2

Dungeon_Wolf_Ravine,Wolf,Monster,1,15,Item_Enhance_Scroll_Low,2000,1,1

Dungeon_Wolf_Ravine,Wolf,Monster,1,15,Item_Enhance_Scroll_Mid,1200,1,1

Dungeon_Wolf_Ravine,Wolf,Monster,1,15,Item_Lesser_Recovery_Potion,1000,1,1

Dungeon_Wolf_Ravine,Wolf,Monster,1,15,Item_Recovery_Potion,800,1,1

