RaidId,DropKind,ItemId,Weight,MinQty,MaxQty

Raid_Boss_Slime_King,CLEAR,Item_Mana_Stone,7000,1,2

Raid_Boss_Slime_King,CLEAR,Item_Enhance_Scroll_Low,3000,1,2

Raid_Boss_Goblin_Chieftain,CLEAR,Item_Mana_Stone,6500,2,3

Raid_Boss_Goblin_Chieftain,CLEAR,Item_Enhance_Scroll_Mid,3500,1,2

Raid_Boss_Wolf_Alpha,CLEAR,Item_Mana_Stone,5500,2,3

Raid_Boss_Wolf_Alpha,CLEAR,Item_Enhance_Scroll_Mid,4500,1,2

Raid_Boss_Skeleton_Lord,CLEAR,Item_Greater_Mana_Stone,6500,1,2

Raid_Boss_Skeleton_Lord,CLEAR,Item_Enhance_Scroll_Mid,3500,2,3

Raid_Boss_Flame_Tyrant,CLEAR,Item_Greater_Mana_Stone,5500,2,3

Raid_Boss_Flame_Tyrant,CLEAR,Item_Enhance_Scroll_High,4500,1,2

Raid_Boss_Frost_Titan,CLEAR,Item_Greater_Mana_Stone,5500,2,3

Raid_Boss_Frost_Titan,CLEAR,Item_Enhance_Scroll_High,4500,1,2

Raid_Boss_Elder_Dragon,CLEAR,Item_Greater_Mana_Stone,5000,3,4

Raid_Boss_Elder_Dragon,CLEAR,Item_Enhance_Scroll_High,5000,2,3

Raid_Boss_Void_Harbinger,CLEAR,Item_Greater_Mana_Stone,4500,3,5

Raid_Boss_Void_Harbinger,CLEAR,Item_Raid_Shard,3500,1,2

Raid_Boss_Void_Harbinger,CLEAR,Item_Enhance_Scroll_High,2000,1,2

Raid_Boss_Void_Overlord,CLEAR,Item_Raid_Shard,10000,3,5

Raid_Boss_Void_Overlord,CLEAR,Item_Greater_Mana_Stone,6000,3,5

Raid_Boss_Void_Overlord,CLEAR,Item_Enhance_Scroll_High,4000,2,4

