RaidId,MonsterId,Category,Phase
Raid_Monster_Slime,Slime,Monster,1
Raid_Monster_Goblin,Goblin,Monster,1
Raid_Monster_Wolf,Wolf,Monster,1
Raid_Boss_Slime_King,Slime_King,Boss,1
Raid_Boss_Goblin_Chieftain,Goblin_Chieftain,Boss,1
Raid_Boss_Wolf_Alpha,Wolf_Alpha,Boss,1
Raid_Boss_Demon_Barbatos,Demon_Barbatos,Boss,1
Raid_Boss_Demon_Lerajie,Demon_Lerajie,Boss,1
Raid_Boss_Demon_Eligos,Demon_Eligos,Boss,1
Raid_Boss_Demon_Naberius,Demon_Naberius,Boss,1
Raid_Boss_Demon_Glasya,Demon_Glasya,Boss,1
Raid_Boss_Demon_Bune,Demon_Bune,Boss,1
Raid_Boss_Demon_Ronove,Demon_Ronove,Boss,1
Raid_Boss_Demon_Baal,Demon_Baal,Boss,1
Raid_Boss_Demon_Agares,Demon_Agares,Boss,1
Raid_Boss_Demon_Paimon,Demon_Paimon,Boss,1
Raid_Boss_Demon_Astaroth,Demon_Astaroth,Boss,1
Raid_Boss_Demon_Asmodeus,Demon_Asmodeus,Boss,1
Raid_Boss_Demon_Belial,Demon_Belial,Boss,1
Raid_Boss_Demon_Vassago,Demon_Vassago,Boss,1
Raid_Monster_Skeleton,Skeleton,Monster,1
Raid_Monster_Fire_Salamander,Fire_Salamander,Monster,1
Raid_Monster_Ice_Wisp,Ice_Wisp,Monster,1
Raid_Boss_Skeleton_Lord,Skeleton_Lord,Boss,1
Raid_Boss_Flame_Tyrant,Flame_Tyrant,Boss,1
Raid_Boss_Frost_Titan,Frost_Titan,Boss,1
Raid_Boss_Angel_Cassiel,Angel_Cassiel,Boss,1
Raid_Boss_Angel_Sachiel,Angel_Sachiel,Boss,1
Raid_Boss_Angel_Anael,Angel_Anael,Boss,1
Raid_Boss_Angel_Raphael,Angel_Raphael,Boss,1
Raid_Boss_Angel_Gabriel,Angel_Gabriel,Boss,1
Raid_Boss_Angel_Michael,Angel_Michael,Boss,1
Raid_Boss_Angel_Uriel,Angel_Uriel,Boss,1
Raid_Boss_Angel_Metatron,Angel_Metatron,Boss,1
Raid_Boss_Angel_Raziel,Angel_Raziel,Boss,1
Raid_Boss_Angel_Zadkiel,Angel_Zadkiel,Boss,1
Raid_Boss_Angel_Camael,Angel_Camael,Boss,1
Raid_Boss_Angel_Haniel,Angel_Haniel,Boss,1
Raid_Boss_Angel_Zophiel,Angel_Zophiel,Boss,1
Raid_Boss_Angel_Raguel,Angel_Raguel,Boss,1
Raid_Boss_Elder_Dragon,Elder_Dragon,Boss,1
Raid_Boss_Void_Harbinger,Void_Harbinger,Boss,1
Raid_Boss_Void_Overlord,Void_Overlord,Boss,1
