Target_LV,Gold_Cost,Scroll_Item_Id,Scroll_Qty,SuccessRate
1,150,Item_Enhance_Scroll_Low,1,100
2,195,Item_Enhance_Scroll_Low,1,100
3,254,Item_Enhance_Scroll_Low,1,100
4,330,Item_Enhance_Scroll_Low,1,100
5,429,Item_Enhance_Scroll_Low,1,100
6,643,Item_Enhance_Scroll_Low,1,95
7,964,Item_Enhance_Scroll_Low,1,90
8,1446,Item_Enhance_Scroll_Low,1,85
9,2169,Item_Enhance_Scroll_Low,2,80
10,3254,Item_Enhance_Scroll_Low,2,75
11,6507,Item_Enhance_Scroll_Mid,1,70
12,13014,Item_Enhance_Scroll_Mid,1,65
13,26027,Item_Enhance_Scroll_Mid,2,60
14,52053,Item_Enhance_Scroll_Mid,2,55
15,104105,Item_Enhance_Scroll_Mid,3,50
16,156158,Item_Enhance_Scroll_High,1,48
17,234237,Item_Enhance_Scroll_High,1,45
18,351355,Item_Enhance_Scroll_High,2,42
19,527033,Item_Enhance_Scroll_High,2,39
20,790550,Item_Enhance_Scroll_High,3,36
21,1185825,Item_Enhance_Scroll_High,3,30
22,1778738,Item_Enhance_Scroll_High,4,28
23,2668107,Item_Enhance_Scroll_High,4,26
24,4002160,Item_Enhance_Scroll_High,5,24
25,6003240,Item_Enhance_Scroll_High,5,22
26,9004860,Item_Enhance_Scroll_High,6,18
27,13507290,Item_Enhance_Scroll_High,6,16
28,20260935,Item_Enhance_Scroll_High,7,14
29,30391403,Item_Enhance_Scroll_High,7,12
30,45587104,Item_Enhance_Scroll_High,8,10
