WorkshopId,WorkshopName,ItemId,Weight,Min_Qty,Max_Qty,Tier
Workshop_Mine,광산,Item_Stone,10000,1,2,1
Workshop_Mine,광산,Item_Stone,10000,2,4,2
Workshop_Mine,광산,Item_Red_Gold_Ore,100,1,2,2
Workshop_Mine,광산,Item_Stone,10000,2,6,3
Workshop_Mine,광산,Item_Red_Gold_Ore,200,1,3,3
Workshop_Mine,광산,Item_Gold_Ore,10,1,1,3
Workshop_Fishery,낚시터,Item_Fish,10000,1,1,1
Workshop_Fishery,낚시터,Item_Fish,10000,1,2,2
Workshop_Fishery,낚시터,Item_Second_Fish,100,1,1,2
Workshop_Fishery,낚시터,Item_Fish,10000,1,3,3
Workshop_Fishery,낚시터,Item_Second_Fish,200,1,2,3
Workshop_Fishery,낚시터,Item_White_Fish,10,1,1,3
Workshop_Exploration,탐험,Item_Paper,10000,1,1,1
Workshop_Exploration,탐험,Item_Herb,10000,1,1,1
Workshop_Exploration,탐험,Item_Paper,10000,1,1,2
Workshop_Exploration,탐험,Item_Chest,100,1,1,2
Workshop_Exploration,탐험,Item_Paper,10000,1,1,3
Workshop_Exploration,탐험,Item_Chest,100,1,1,3
Workshop_Exploration,탐험,Item_Enchanted_Paper,100,1,1,3
